#Protosolar abundance outputed by solarabu_new7.pro
Z   abu/dex   abuerrup/dex  abuerrdn/dex  abu/Nsi1e6  abuerrup/Nsi1e6  abuerrdn/Nsi1e6
73  -0.1123714   0.0413927   0.0413927  2.175846e-02  2.175846e-03  2.175846e-03
74   0.6978970   0.2825563   0.0567326  1.405714e-01  1.288632e-01  1.721426e-02
75   0.3011551   0.0211893   0.0211893  5.638384e-02  2.819192e-03  2.819192e-03
76   1.3909426   0.0197158   0.0197158  6.933336e-01  3.220088e-02  3.220088e-02
77   1.3619661   0.1687450   0.0277703  6.485830e-01  3.079733e-01  4.017442e-02
78   1.6450109   0.0211893   0.0211893  1.244545e+00  6.222726e-02  6.222726e-02
79   0.8653660   0.0429456   0.0429456  2.067121e-01  2.148569e-02  2.148569e-02
80   1.2108450   0.1760913   0.1760913  4.579785e-01  2.289892e-01  2.289892e-01
81   0.8077097   0.0446339   0.0446339  1.810128e-01  1.959284e-02  1.959284e-02
82   2.0505362   0.0313336   0.0313336  3.166183e+00  2.368769e-01  2.368769e-01
83   0.6903791   0.0374265   0.0374265  1.381588e-01  1.243429e-02  1.243429e-02
90   0.0799103   0.0284090   0.0284090  3.387737e-02  2.290142e-03  2.290142e-03
92  -0.4990540   0.0293838   0.0293838  8.931939e-03  6.252357e-04  6.252357e-04
