atomid      elemid      CIppm       CINtoSi     CIerr%      CIdex       Cierrdex    PHONtoSi    PHOdex      PHOerrdex   recommabu  recommerr    note
67          Ho          0.0572      0.091       7           0.49        0.03        9.77E-02    0.51        0.10        0.49        0.03        m
68          Er          0.163       0.256       5           0.94        0.02        2.75E-01    0.96        0.06        0.95        0.06        a
69          Tm          0.0261      0.041       7           0.14        0.03        4.17E-02    0.14        0.04        0.14        0.03        m
70          Yb          0.169       0.256       5           0.94        0.02        2.19E-01    0.86        0.10        0.94        0.02        m
71          Lu          0.0253      0.038       5           0.11        0.02        3.98E-02    0.12        0.08        0.11        0.02        m
72          Hf          0.106       0.156       5           0.73        0.02        2.29E-01    0.88        0.08        0.73        0.02        m
73          Ta          0.0145      0.021       10          -0.14       0.04        999.00      999.00      999.00      -0.14       0.04        m
74          W           0.096       0.137       10          0.67        0.04        3.89E-01    1.11        0.15        0.67        0.04        m
75          Re          0.0393      0.0554      10          0.28        0.04        999.00      999.00      999.00      0.28        0.04        m
76          Os          0.493       0.68        8           1.37        0.03        8.51E-01    1.45        0.11        1.37        0.03        m
77          Ir          0.469       0.64        5           1.34        0.02        7.24E-01    1.38        0.05        1.36        0.06        a
78          Pt          0.947       1.27        8           1.64        0.03        1.66E+00    1.74        0.30        1.64        0.03        m
79          Au          0.146       0.195       10          0.82        0.04        3.09E-01    1.01        0.18        0.82        0.04        m
80          Hg          0.35        0.458       20          1.19        0.08        999.00      999.00      999.00      1.19        0.08        m
81          Tl          0.142       0.182       8           0.79        0.03        2.69E-01    0.95        0.20        0.79        0.03        m
82          Pb          2.63        3.33        7           2.06        0.03        3.02E+00    2.00        0.06        2.06        0.03        m
83          Bi          0.11        0.138       9           0.67        0.04        999.00      999.00      999.00      0.67        0.04        m
90          Th          0.031       0.0351      8           0.08        0.03        3.63E-02    0.08        999.00      0.08        0.03        m
92          U           0.0081      0.00893     8           -0.52       0.03        1.02E-02    -0.47       999.00      -0.52       0.03        m
