      elem    Df             Df_errup       Df_errdn      Df_3sig_lmt_up  Df_3sig_lmt_dn  Df_5sig_lmt_up  Df_5sig_lmt_dn
     68Er      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     69Tm      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     70Yb      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     71Lu      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     72Hf      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     73Ta      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     74W      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     75Re      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     76Os      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     77Ir      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     78Pt      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     79Au      0.3673029      0.0143402      0.0122532      0.4120249      0.3317561      0.4448254      0.3099906
     80Hg      0.0018687      0.0004617      0.0003761      0.0036242      0.0009522      0.0056361      0.0006075
     81Tl      0.0291375      0.0036780      0.0032673      0.0416230      0.0203936      0.0527944      0.0160763
     82Pb      0.0918335      0.0074534      0.0067524      0.1160576      0.0730294      0.1356610      0.0626848
     83Bi      0.1009691      0.0078418      0.0071068      0.1263690      0.0811142      0.1467604      0.0700974
     90Th      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     92U      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
