param	median	errup	errdn
Na2O	0.41573056319741	0.07351979390635	0.06486995515994
CaO	3.5637878378585204	0.61459437261197	0.45183181849089
MgO	35.54901471720602	5.75049288350903	4.67183791770631
Al2O3	2.97790330429017	0.49309137737257996	0.41070721585124
SiO2	47.677128453684844	4.40621352234781	5.24487405318201
FeO	8.33355596080342	7.7608076036987	6.71251825641257
NiO	0.3828055618196	0.5420084468189	0.25226617025381
SO3	0.48776496117067	0.10395715682168	0.10610652742394999
CO2	0.03750836600073	0.0096673705612173	0.01319757499333
C	0.38307470372322	0.11395539807215001	0.08889052263801
Metals	0.16839346720280002	0.32098369438796004	0.1511215878136
ExtraO	0.02333210304257	0.02139606163185	0.020101165088389997
