param,median,errup,errdn
Na2O,0.4105164194254493,0.07532915970937325,0.06569222681790098
CaO,3.5519769068018867,0.5829271456565678,0.4827923193633294
MgO,35.4355847639074,5.627778555353196,4.884755827308421
Al2O3,2.959696865057785,0.46334853418443894,0.3945780935945664
SiO2,48.01601109391041,4.400654412203513,5.232999929106324
FeO,8.135049695574306,7.858190709757096,6.184396788128717
NiO,0.3981631489542805,0.5032730945315889,0.2607301446356266
SO3,0.49663022376406973,0.09895071471394501,0.101436296476654
CO2,0.021236124494592012,0.007873699872852379,0.01276124633634017
C,0.3876141072461168,0.10526492440319518,0.09377510704194612
metals,0.16791922186564492,0.3405985523172067,0.15146795302742766
remaining O,0.019601428998065232,0.030625954749433998,0.01579361361711879
Fe,89.11068538235004,1.4936111868646256,4.441033153807245
Ni,5.224681897802206,0.3043452683625998,0.7415367936778668
S,1.7710223060179295,0.5107358044435466,0.43680703191638787
Si,3.8936104138298266,4.127633198763257,2.748510943022809
CMF,29.25841191835188,6.390231841207022,14.769826984361858
